Ashita no Joe - Makka ni Moeagare! | Every boxer available. | by YugotheWolf
Black Belt Challenge | Everything Unlocked | By YugotheWolf
Digimon Battle Spirit 2 (U) | Everything unlocked(Digimons, Digimon Shoot Minigame and the complete Tamer Tag collection). | by YugotheWolf
Digimon Battle Spirits | Every Digimon unlocked | by YugotheWolf
Dragon Ball: Advanced Adventure | all modes open,and all the characters open | guiroger
Dragon Ball Z - Supersonic Warriors | Unlock every player and every level | by Mr Haque
Dragon Ball Z - Taiketsu (U) | Everything Unlocked | by YugotheWolf
Dual Blades | Everything Unlocked (Alperen, Counter Mode, Crazy Mode and Transform Mode). | by YugotheWolf
Final Fight One | Alpha Guy And Alpha Cody, Stage Select, Rapid Punch, Lives Select, Color Select Are Unlocked. | by Rey
Groove Adventure Rave - Hikari to Yami no Daikessen | Every character unlocked | by YugotheWolf
Guilty Gear X Advance Edition | (US version)Everything unlocked: Dizzy, Testament,GG Mode, Extra mode, limit release and original mode. | by YugotheWolf
King of Fighters EX Neo Blood | Iori And Geese Are Selectable And Extra Strikers Are Available | by Rey
King of Fighters EX2 Howling Blood | Secret Characters And All Hidden Unlockables Are Available | by Rey
Konjiki no Gashbell Yuujou no Dengeki Dream Tag Tournament (Zatchbell Tag Tournament) | Enjoy unlock every Player and item | by Mr. Haque
Konjiki no Gashbell Yuujou no Zakeru 2 (Zatch Bell Electric Arena 2) | Everything unlocked including the entire Gash Collection. | by YugotheWolf
Mario Kart: Super Circuit | All Normal And Snes Tracks Are Available. | by Rey
Medabots AX - Rokusho Version | Everything unlocked, Ruberrobo gang defeated and a spare for every part that you won't recover without trading.No cheats, only sweat. | by TheDarkLord
Medabots AX: Metabee Version | Everything unlocked, Ruberrobo gang defeated and a spare for every part that you won't recover without trading. | by TheDarkLord
Mortal Kombat 5: Deadly Alliance | All Characters, Secrets, Stages, Options Unlocked. | by Rey
Mortal Kombat Tournament Edition | Everything Unlocked | by YugotheWolf
One Piece - Going Baseball - Kaizoku Yakyuu (J) | Everything unlocked(Red Hair Team, Minigames and every player scouted). | by YugotheWolf
Rave Master: Special Attack Force! | Unlocked all characters, finished Story Mode with all characters, Finished Ranking Battle Mode | by hockeyguy8 
Shrek Super Slam (U) | Everything unlocked. | by YugotheWolf
Sonic Battle | All done, All powers, All cards, Story mode complete | by teamhypersonic
Street Fighter Alpha 3 | All Characters, Modes, Options Available. | by Rey
Super Dodge Ball Advance | [US Version]: Data 1 -->Special Championship mode available plus every Dream Team unlocked (A,B,C,D,E) | by YugotheWolf
Super Puzzle Fighter II Turbo (U) | Everything unlocked. | by YugotheWolf
Super Street Fighter II Turbo - Revival (U) | Everything unlocked. | by YugotheWolf
Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero | All characters unlocked. | by YugotheWolf
Zatch Bell! Electric Arena | save to unlock zeno and others | by Mr. Haque
